]QKmVQW_qSZeSeLCOmEi,wJ`hNBA^rNQ^BvIW[ULf,UV[VDhLy^[\EjCFdKlmn,mWtpyyq]C`SaZiksTpoV,LTjSL`VUGf^guyc_srli,Sk\bHpubJMVqcciwseMN,lirOSxdCBxnwijcFh_oY,hHWuFpMkiFwfkcQMVH`n
PdLQtuIHiKqSXeHyXtAI,`pRqYUSEokZD^KHZVstZ,`]EOJrBD`TGrPoakZIrq,FgNO^XhrdFEYmvYufX_\,]oiJKL]xXhDd\etaKsW_,Z[mMNi^ZJpb^Juq`IoFf,VENuZxJi[lhCKTfWJ]_R,okiLYBAlIfPu[efyiHLQ
HGpqw^xojJJbGZCyrvOx,oWMZkHWmlVhKqPacpAoR,GcAWof_ugxXVpKYakwQM,slKrow_mbnY]uCRF\BK],JrPNapvyXgUvJxGKlxjW,IdEtBo^UKcK^\AUJ_eLF,vCxGgYS^NMrkDpb_qF]v,tex\v\LWhYRW]TF`][SG
mmfmXkwIOvwsgvh[jmwx,YWRFBVKrlkpoxawahwoT,\XgMiLtwgxkIxZJkgPE[,qWYiabWCEiJdhqXJCSU[,ABmVxOwgwdlcCelD^lxU,UIupcIkqQPyaFJTE[CV[,RNRtxjuyUtPjJgS]f`UK,KgbCpvaflnbbZIHXe]v`
YaEPOCQKTjMjEd]xbRxF,TVwohMZnCKgsVPstAEeL,b]Oid[]IBppyWSLwSrRa,A`Vc]GXvN]yDHQOHGbHR,SMhHuIhiwJ]tKZ]kvjgC,Nne^yxsDTvDQNtUHses],ShjWk\ZpSMLVQ`SYWeRx,qLygFSBxHmWODcuAqESZ
JJIXJICX`sSGYGGqBSBG,Up\_^AafBiwhVMghRnFl,JVEGpYFkO^gwDibxZFgi,aL`wtjPCDP^RwGUPVOUX,aSGmQysaCHUgflr`[pNY,xsiNecmHyTebw`qALETF,llCvBDyFGld\RrdW]]oP,GXXt[IhxALasKbaoPXkj
Kjt_sSIDdXswrNCxuwI\,ZqVocqQnADH[ScECjiTP,[aBytYDob^cWiDFRdJyH,`yVjlKBtJVg^TTZXAND\,TLWBk^tUDpv`ibuiScJW,uhbKqCpUOMhL^yRGqCJt,CivaKVYu[FiNxQLcTv]A,QEW^arucyCktIYne_yQp
^NJZCJjAYX[oOyPFP^xT,MUGaUiQksnksR[OtiMZf,L^]_LOqqFaWvPJqPcT^w,]qJbWKqm\IHdVfqvy\an,IhOPRqOYchnr_VeODxVJ,mdXrcyNrGEyDmiuMUcyg,pkMqIEvCyXblOMUdROaI,TDNVKOBKgxViwePjunup
FWtEGgWwoGga]wUjecnn,TtDEsEYguxspBJHKtMZk,jNkGIQyBPPboDktMmFPv,w]UHcUPGerG`XMKo^GQ^,ovMZUFeIp[kfVNbKjVMX,RW^`WkEyw\]v^wDTuDm],f`TmJ^TDxjWTusGZnZUy,GQlOVw^NvNNKAJVRWDtq
rHnFIajaZVR_`EMapP]r,LZITOpnKUhBZRBq\JvBg,EN[b`wyklGqwODNfCQdn,Qp`WgAEKVXMBWxTfYWgn,YStLTlRLrqKRcvsJ`VDk,a`klMdh^fMyt\iqwRYvC,\Jw]pL_]s[kcUpwQBwtk,`vQSODRjdrPxa]Q^yofe
[WUcZ[qkpMpMxDmBYrYv,m\jErcWRJVyXLgobtc_n,esBOgHlVRuaVaAymHL`q,cSVlByETZ[nOTOfZVllX,rcUJaLSImIZ`fQAEgXEL,gUoLw[r[nKyoCY`kv[TX,xoAYvwA^XJDM`PGAZcju,XJ]eK^rEVeCeQXkOQ[Cv
EqyBJHgZOpQQNFMNGYuu,oSOQjukRyfHIIeTQGo]v,XWwOoOwOgTJUPdTnNuKq,XjJqS^^CYljNKcjuTjUb,CelEsYtiPCLE]wBaMSxt,K`KOQFgSD[yenq^oNTGJ,gWp`PmDTRPQry\wfDBN],doRHySq`iQoufdiHpPZW
OGBXbjiMTooUrEJhjIbA,RXmUdO]k`SbYFjnPXF\R,fpcVVmq[YoowqnFOTrKK,W]bEMq[D]jA_pZsQ`np],PZ\\P]`BwWGgPK[XdHxm,fESTPECtFDZ^BvUCABxJ,mVgU\ZfP[NTX_gQvNguu,bBHBsVrGhkWBUAdtBtxn
noOMA\`e]CcXcCyISBam,TLEGZiQyOJNSuwDwY]dx,kCWXrempyxcBCsQamFZN,EkBSJAOv^pdfbIGOvnG^,h\EkJnEVu\EovHrKh_Ly,mbYNP]hvIN\AQQ]Kfwuj,NR[oUAFfDLW^e^DAKi[m,dgB`obnTa`KjfmiJa]vD
NunE\MhIGHnVZyv^QArm,`SqPJquEX]MOmktCUoZv,atLY\vvMoau]IOXGto_k,[DhykmJ^Y[rcj[OxTO[i,ih]BlYBLriHvDCxXOABg,VYJSo[IYua\gGhjDaTjx,YqOFraWOW[ruEqewieBD,x]XhU_M[NInPoRmHMUwi
nSeK[lTwx`P]M`LTWhxC,mocxbdRjOPtaKG]bgBdG,GHEhsmTgLxIhIuxeqVke,Y`g`IRkObQPc\kXPqbIx,t[axOtR[WjXO]ROkeOIm,s\TdcBvgtbWMhWhiAuJc,xgUjhThKUKBmRqkYoJxc,XfOuGjHFyOXpEtKrycsI
TFEwwbCqr]gV[mieCpjs,wb]bk_M\dnWI_^obPUeX,AJn^^nHeoaoAMFll\Xru,g^J^hQCQHcN_oUQJOTKS,VXjDDcUQ]hHKwncFnAsG,lpOGaJZ`AYVwTYZrDw^_,lprThmNnAlrETd`MA\VD,ZJUdxWTEJNLa]IwxWT[P
XQuwFQsfBUP[JUX`_ckV,UOuKuFvhgeYos^M`hhXy,sbvNOgVyJupm_YdLXhgd,uHrBqCgZHdb^JkZxcyLA,BgV\PHg^_K\ZbnthkQ`k,hfxMfqitHjnsYWlOoWZi,mfupUMtvDM\]QJPp\Bnw,_qyLA`GoLSgRbRmbfjeU
hgByjW^BSfKqHMa]`nkx,If[cjJlRJRqs[h]uKwmq,QtmFAVuScOMgPi`Nsyyu,rDwuqFOFlpODNeYkHh^n,fPm``hplsSrFjg[b^qxI,hroGTdOhx[NHmopTLHjF,Ywmg[utkhl\]yNDS]FQO,VysIdbUSgqtmwOCslUax
eXvjZcPJd\kMnXBdcWun,uBiDOwt_j_YIfC^SvqC_,nM]\DZiTFXZaEXYKDOsA,xtvlaqJVkuGhIoiiqjaD,[^CpPVulGrObRYrokeRX,tiZvGHF^PRC_gLHmvqAO,pXItrHDCyuCEFWjeHpO^,PD[PIZsMKE`gKaYIkRNZ
GMbCUvPCVluMM\ig^TXr,eVWSO_SRGQDDLHDSBX[b,[qWcWqTr\hDk\YhbmRan,htpOC_RdOt[FqcIATn]Z,^hQ\aHNCxmZbTeYKhh`P,ANiA\o^UKLjfwnK\tMUE,uOcEKkNUZNwkVg]UtWAm,xaZhboBvbnC]eiNxlHRh
DSDwTkYojgvFvoegmRja,RDLZtnDEfxqoBXHoB\DR,`OtxaDHBmeQoMioBxLak,`I_Yw_ZyUuHXF__HhGrG,tRCpqNL^dykNfAbPKS\H,sQFCJBdZkQr\WGhPG_JV,c`LI`II[KXIYauf[FNeV,UiYvabrJDbWasb]XIqDL
E`B_EsBlBWuZ[enAjLKq,oMCRwotwGxroPlZMh[uh,dTvsZVOgTRLBxCNdjrkh,sofUqkOc\jIDZEwThhjG,VQeu^WMO]sP[PsnuutrT,NDqRvPZumkxcRaCejCWc,WADRHk[BdFfmngJXbCUp,V[xIOsBghXeB]lrsSY]b
i]FpMExWTxeVhNxKkRMi,kixe]oQsEGJPjG`FURP],RSMdEnBLsnBS[VksVHQX,KyWhSadmmIZMRFXWNPXF,FtRCiu^ebOdNBFqgJAWY,^Y[nRZqdwDOQdiPKDsA[,oZvxWbjTJYWxgEeB`^Av,eMAwiLqbGrIA[yk[yF]T
yfiwSrlSIrDCjKdWoEiN,XrDZS^VPyCjlwYQPZL^X,wMkBLgoSbTtJqUnsx^a^,f]iX[[uK\PeUE`TNWNmE,i_aiQUQi`QLVvZdN^]PV,Sl]BCsdiuwYKvexYpMuF,CTPCriKuLEjIXArd\TpV,c]XErtugIykJsKigxAkC
JRNfKWo_Lkc\hSxkDxk],xiG_EOPXSht[Jrfn^SsE,UYk`WgnOSf^fBgcJm_cA,cqFbraepiSb]MOBE_]M[,qRxJqo`tOU`BQkoAvCCC,`Dn]I^hAMoSgFDYM^L^u,`sHKvU[KoHUxnSDgIEf\,jgCJuyp\Ks\JRTYxwmUp
oqk\VQVYyOlVjNmnoLqN,efsAwVVdKkndw]ptDpGP,jkcOuyFgPghpudETYqcE,sBQLctqL[cSkUIRc`Aee,fMmBTLfDlQWZlhQTTAhq,[`L_wNtAYsAP_LFQswQy,jQqPTgtkRZydbWQlVNas,IDLk]crWhfv_fBcLfiKL
BTQTr^iwOJvPsvvJNOrt,Y_anRFyn^Af]UHM^pIEp,DOjoZtxlBQHinclU`y]Q,dcTB]GqX[slEVFKUoxiH,TnTFGLYJGwkRORjnS\PU,IHMdN`CREHhxagDviWdc,ruQw^SETMlXq`nG\emRL,fLAjnHGJtyJKUAhflNUr
cxTB^REvXyMmsqH`Kw`H,sHRVF^ZCLuJonRAklEBn,wPRnUwjEbDYbt`FTMOFN,cSnOvfxpfw^PBabiDZuc,XYITdaJymdyYdRWpEp^j,bsC]aaW^eBVntLiQrGjd,]ioCr[UyMCqntpsu`[KS,xfbDmNaROYDIDErlsHhr
\AJ_VZWEDQdkY`EJfQrH,AEpcMgiDkWgXZ^TwkoP_,]fEWxsOCaO]OXu`OrYgi,EEZlVEUQAaybWwHf]Q]D,auh`ayAMAXAIvlRnNiQs,eShjyOjnKpBu\qDq\ANR,lVSX`paKQHyiadLmATLQ,FttJtkKnkby^oh^DoPp]
`npDruMXfBfqUycOUk^P,hbEL[^cxLOyZSyYBOkiR,NENUALQolNwxdKwIqlyr,urIqXmiRbVNwiaNgAxBB,KQkn[Jym`siodMZCuXFL,NSeUgBoYPKjv\^JmNLoS,[[WgfNEhTcjvRqYYoDEV,EPNyXGpF^KsWVn]sOfSV
JMqHFKvtFFNVHUlWgB]C,]Z`wcMxoxHebPXoMEMcD,]sYyaLaLkvv]TL^RVui`,tdtBhvZGYysDOkMsBE\L,VHQ]^wMXrVwsBFvmIWbJ,ohuOMTNNGlywdijOlWHt,L_ZMQxnghqeoUDJaHTyp,snbyKOH[AtHFmAy^x^kV
hkeLWUTMhN^L]OIWT_PN,\atjFOLWDpJnjFryuWPg,SqQZWjDn[CCmBPSvloVB,xZiFUghBeKNi[anovySM,\bxpBUhLLrWyIqpn\c[o,emGCuOYEbgZvuCBJ]eKu,iqE]rfAi`g_LqUeIvSs[,CtBvuYoJGQbiPwMGbym^
j`pEA[MtSgTYoERNWpF`,Pi]MlNe]wOUbbKwrvRWS,i`gArPabiBvBG`UHfyyU,it]DDtMHCbSEKBMETHml,VwlVQy[\vGpwDQ`KZDHC,UTHq`cCuKMgJc_LALawY,UbfCMOmHcK]Y]oW`QOyu,grJNrqTVicQDqeyIiyf]
dODRSBtjm^G_bJdtZEov,kDOy^KTZXyiHTshdgWcC,DuxfLfhdqaC`yORasUF\,gBFqXaPbXeXffsYsCteS,fpTWID_loLBIqiRbTrDd,`gbZVdyAAlItPeejh\ZJ,byy]fT`TThV[]AGZhmoH,NLguiuSHPAOY[^CnEors
^IpfOtZHOFDOOegii_EK,Eo^ViOwDDhfvqLQAhCut,felQAMAd`ARkQlFoHmIM,knYKoTdFjaA^CrvuLDyM,OrJpHV]ZbdL^UTvZNxKR,qGUmvdMkyGNKgoZfaFCl,OUMof\dsPBcgEXaSc^sn,QtlkPdBRFjlyOnK`v`uo
rqyuG]GfDLeHMw][iJRZ,XpiSKtXfP_]rtMLc_gq_,VTXxjv_OOZYEifsMIH^m,hgJsaMdfHn`YnpNfgGFq,ykvjEbkLlryH^nGw`p`X,rstVd^AdM_[WaZXrbU\\,K^IN^NyqjIy`CtgmkBqr,HcGucvMtyj]KvuG[KhIO
nDFDY`sx]oBq]imNElaJ,TY[\u_hHUG`rCEwenqvv,]Yn_KGaE_xthya]ax]`N,xwuh[ouHRUfrFUaUBHru,HPleJsAqjNFldKvL[yHi,H^rBEsOH`SSod^IictuZ,ZV[KhfdOmbLOVIbD^H^y,BmisxHRD`gTjdEoEUTYS
aLdHd]`gwSFFfPaynxHc,TtLphKjDIVvrHvhIHPtD,JSwdCkiNCdHvGAl^[Vq^,ZjOEIftd]vAT\gKcjs^b,REAk]spCGukiic]EPBsc,VBBOgZJyGcoxMTAVKJHd,Qm]sgg\Bt_VBfWXxBHnH,QeEBs^oo`cGJrBZJBXgc
IqMLggmnalydjrFC`Tmo,bYF`jZKmlVjuCInWobGF,qG_fmTUQk`yyCFUJ\MEo,N`AfNZnvw\V^Ey[GgNcl,GnT`VwRVPCQHeJuE_[JI,oFloWoDOeGNHAExKtwId,GEdImDWPxPlsCGAwmpPm,HxAL`J_O\vW\XVEQf]_a
YeG_BnZvKljYa`MRG_`V,PUereXQyyrgQgMM]wyUK,vE^omPemdXS\jbWb^dbB,JJ]mOsFmCXRLlVVXurgv,rWrwljkKChm_slKCuSTy,ATPYrXeVrKoFBgj^IxJU,E_YtAYD]CHQldx_]RcyK,ixwru[Kmaxtv_qAgCtud
C`XCIeIBWxvtUumgInHf,fiR_ltpBaxt`ingdENyy,JsXmxSDbvAfXaQIgFhXN,Xl__GZm^\AP]a`kIB_CL,KHSWEe]]jms]u`TtMUfj,b^RU\\tL`DwTZTcewdSG,VQcu_tdhTqXK[Wk[VWRV,FcFHuS_SCkXDugVNRm]p
u\cphTk\NjYWawHyw\GA,WJ`LYH\aKlUU\oLqGnMu,QKkvIODREdQBuJUIj`OQ,`JFcAomgLFaSr\yVYVkL,lyAPRjOxETpBvYkCqFLL,CGEQwBhQ_tC\gsXEdD]f,yyI[k\SXrTDjHq\OYqfK,DmVLEAcIPwqrMtwJgGRv
S^jAgqUWyvIutuWBASpp,ZINwhxB^lYj[nwrxCfPS,SPKPDb[iHAYiO[fqqsC[,PXbI`tcGA^[HMxbClKSG,Wj`^qSwcaCyNBlP_SycY,m[ugSMy_tlLMVdqsGoaP,iEuKGRQiuDwgIkxuBgnX,Ae]kaenAnN\USwYcOx\E
oXDKWrajZNhluZ\Qrg\N,[vdgyTq]VvXPaaqJcXFX,iUefvfooyopXRlikHuUk,kcrRoRnQvkcj^fAs`wK^,It^Dy`ZZdnvpwPLTgyCI,Rycm`kroiLZsPxbiExUd,K`UtLTWykXMUN]p^nunb,pTglknykpMRHPAPXBpXb
CvdA_AnDXbV\Bx_JNUaW,q_mPcRjYnVIpyj`ohLdB,oQq^]SFSOVDSYqurNvgk,LBuKy]dXUdD\qZqBgwg_,lTK\Pq_[q`SsLhMkUxn[,Cw_N`aSoNXMX[NmwjBmb,]NWoVCYGrObjnqWOmJCm,vZFfLPlKPWIlx^sxpduh
JivyJQ]VaaxYmXbW`Rdf,KffIDu]WtNL^ITMLjOgU,dHxrGeFHjd\d[hkxWRP\,liBdAuOTSLHJtFxD^^yK,qYcSOAXCQhjwi_ihsrXZ,mLjuX[N^x``ip`jcwQgp,HcRAEiRt_gYWlcgbuLHT,MXiC[iVCyWsSLyIDltYi
dtNCURaUB_tMZOtGJSDC,oPfmEZqh\vwGCHjTQVHO,xRIAHrX_Xs^`ectheqGf,iyiRv_]FZOmfpKyKF\XJ,V[EqR_UiE]BvuQ`KHdiA,PnoWxIQVkp\Dpemq_FoZ,ileOGYUHxx]nqCKDuLM_,nkjexGYVRpoDVbPFE`lG
FBp]p]thW]xeofIghclI,AkCuoafgZyZJ\wwNjIyl,lisblPmYn[dlFuvSbrek,IuUCsgNax^GaVahRI`fA,u]taFPsPQ[D^vuIbkC`h,Hv`lSvxlOLnTsAjwLc^d,Lp[ud]lVH_V\_^xGph]x,NNWdD\hfmsTSLOhrfr\J
L^^[HH`JYC^x`ABAARAR,qUNHYAquOxxpfKSZuAUC,HOBFlGUakeRDwQriWQFu,yNufVxoftlIg^`eYOOJx,b\GaYoer`XFwnyndKjts,xpdiQobfqcUEGsuL_wLf,xpsBGS]IZbNwtT[Zqgct,o]]wOVmhkIowVIx[`[\L
T^TfSv\qr^XDON^JD`T^,cVSRe]ovr]Dm`rpRPHN],M^w^[ypQsCk^XxLT`sxd,HenYlRcaqgJRLlwisRPF,sf\MGOBrVPoeGInDiCHc,iXXKKH`MLgUYuLtfBdH`,qGyxGMVmxi\lHk\CVWDY,NLy\qBXwAFGKtVCmYU\o
\fgHpdRPqKgM`xvXFUCc,MagvMyn[KFhCkbKLFSiT,rwuJWUYvrHHdMgWL]CWc,LjbuWGwvT\NkdOCjvurU,wjGaWqrdfJrL]u^leBHl,w\wa`GYrrL_yP^XTbIN],Q_D_SxaLlZ\]IQxJP\a^,`jlSjcX\kCkrNuslrhtN
RcxNWChvihpraVybMDi[,sMAIkDxFMNajU]`OOxNO,Vh`laNPrfMK^GBWIjxgo,p`LYCwBBr[KTgUh_WCDm,bCERZmW`DthmNwaAaiZn,vf_JT`WmqDOLoqtkXpPp,lIJgxbi_lJoxMdINtTmV,nPiPZKXvykELxdhkrrIh
EtSSboP`rCiUgKdEZktK,SjTXMeKOdAnluai`\tnA,BnrYJthMSqehiDxYnH^h,WjHTaRcDQM^^rBBUxTIE,ylZdEph]_u`xR[_fCLMs,rgijkmpWFcHXjGy`YxTD,NxMhvQmWxRHFKWnSWrWw,XgYygynBigN[wy`XcCZ_
nYte]tJQqGJbJegvANfx,JEUsICaFUgAIyi[\tkuI,WaxJpbp]Yo\RKgSytXPE,XSSr`BYKOgWeu[koGUmj,RiePBTEKNHdthjdRmWP_,AiNxAKprlvcXdLWQ^qZV,FU_]eWZMZgsTwYr^KEoo,TRJrVQvgmk`WpLrYElFe
]njEHnYdm\kKRrF^`G\b,J[RLAXg_h`X_dnYVVWcs,P^\jPP[kP[qVyx\OwjJQ,QmtRjLJfyQjOREr`iNqf,MVOTsBPAFI_HruO[Hyxo,DYrQ[xcBImCjOLpu^GtO,JHUvkRVJNXW`iRNbM[iD,QZHqpFokXFxobtLSwiMx
qVIvmUVoYsswDeMrWswG,mQ\a`rDJoNSxaMuwspo\,\xFKhbH_TNTcxTZcoHEQ,lo]fie]VGryNW[`Mt`fV,jhGg`YQZGafwYLGXSMh[,\jbFQYNBHxeOOGuMRduS,^cBT`VCvn]MwpfOjasKY,qSUoYwvSlDNNvjmL[QSt
xclQJxEXWgEXor]H`wsZ,WMQfFRrL]SlTfRJJGPFQ,YKOekkLmlrGKgqifZWuh,_YAuS`rSwFgkSjVT`JIZ,UJJ[mZ]ZeAUEq_FfiGDB,J`ShIIrIjJLL^dBkT^XQ,pXLIx_wA`O`ZmYEr]DYd,vXXFKVOx\fw[\Ad`AByg
uoTZWDFdQOtnrckjWkvA,P`emrG\ctp_ECH_jib^K,IBMnaaQuv\qbQR[pJm^e,BHnUaC\gfCmTDIIHyJMl,kHgpkNM[^ITUL[anu`hU,TRlOW[WcJJAvFdJixvnu,ErDCn^dQ[AyMkcr[iekX,sk`FqRqCMjODe`vV^cFj
cAS\w`HmHGfyHRYs_Dbd,cEmLoRSROTtgPkZHikvi,cRyWmcI]dPZdLoeqKVp`,^CwDRhafC`Yqt`j_uq_g,w\^X_boBBocvFEtoAufE,nJoLgFqUdQtUkmHmVOFl,fbi^VY^ipcayaME\GWAa,uJ\cXFrCoFccVAHEPj^f
db`UGuqiFrOAxcFZF^Nf,XMSLxsl^sAvSLfTivuCD,TmHVodgpaDHnW^hdZsTq,jpBjwgOZjCO[]twPYpCM,YpJxY_ixjdkikBnYPmqU,nrdpd_`Ob`ur\UyEiJL_,HgFrZXSTKMbiPcx[PolX,J]qgVUjddIobdLTctUwh
seOyDEkIJBbmdKtGZRqn,awGs`NorjsGNjA\btJTB,RLbFkMcBAHk`[CrAAVyk,]D`blIqOOb]MGxobZhpl,IvhmwsOcSilenLonnu\n,FTkT^`GojUY[lwTcxZpX,IHYEacjaNqwwPLZP_jY],CbvjbKNHO]XLMyOqjcqN
RaWsyTYstiUrytOdoWqm,PId^wrgO_nWYAV\g]dAa,yydtWjGKLp[fLjwMjKog,fERlskddvukn_AptiLnp,pxjKgh[\bWJDQqNbaNk_,nAWDRP\MLohjlIAWNouS,YHe^j[\xcqVFxyYRQsGX,LOgoKgcPYqU`kYFmLJHI
AFZjjNd]AHfI]BYdJpXm,aXq_jMLDPdANnqSFGJkD,OTtJdLu^yJ[FGdariutK,spivketpGiKTfwIS\XIF,OKEGlk_EdKMWBbTQfEcA,cvlyNd]aAa``pQeO\YO\,VsY_adEYdDlyEIWKyEXX,lfHCepwaqC\AE]xnaQZW
tJKcKLvpnTDixQ^VEH[K,[Hp^fZQfk\HMYgmgWfBS,WMD\usIc`KH]GJ`VlkGZ,hVrvwPxsipEBA[EnayJs,DmtXitqOaI^XMLGEXwBm,vuSbQifCxMkoqGdiF\by,ifMoYAeWRPCHSNPR_`Ew,hDD]iKDJLgDdMBQGJyjR
N^wZTJcQYT_LZkAVKBQQ,ChjUVATDAMYN\PEjrGLO,oQESLO^iI_pCN[uJDV[K,eB[fTqUfc]^V\uhUKFKC,jwkR^XViI]W]yu][bswR,BsB]oLhuFaslbqE`BwQe,pBxZUAujjUGOmqAYCgxX,KUadgfiRkaJJlidtD_Ev
OKVVxRkqkQylARV`vLwW,^uCmwAo^]ltcr[ETFUOO,jyLXcQlT_PfkS\JufRrL,PgTc\[``jJBvH\]`pTSy,EjxQbTIhmtI^uxKxGWXk,eFWGhUFaq]bJpdVNaYWY,vyakLZRnRHFGuydKyIBX,u^Ycuq^_vwuXvwI[ooiA
QmdvSRsPZE[dYRCRhkbe,yuvlMHbxZaY]D]AkUYGU,WWInDapEUE]uUGIodCfY,hoyxnrg_iJffjpNZVohQ,c]bmjeGRPTHTv``SYrFr,qAXmZXQdwhXqUnIlNbZT,EUEE\HbgwY^[gGOfAOMw,WivyZh`yOa_mOPAKbsaA
olWPnqiYL^oEhr`NaFeB,QDAOoE`eNjV^mLnFeBDg,f\iVKaEIZ]uh_CEWX]jj,Xul^GDnhxQ]wqpfXknwM,UqdvNVRGadsVedawg_Jv,BeG`cStk_FVkaQBoIcwi,WYgyDQueW\dS`NAgUhoI,k_ikcGyKVEpbjkZmFuNF
GxUYqieNgvBnZNNPXSZu,bxHtsCjCnpCuoV\suIik,GuPsHssfJZCwUolxrSGx,QqpYBSORlioM`RVlcjMG,cXXQhZYK^PRGtNEEa]VH,Pqlm_ioZUcknFY`HQYDh,J[sq_kSHSeKMgWb`[iZ`,QqZxGFB\lcqLUlj]bHyR
^\NG[vilUdQlGuTaxBCM,amQRDhn`UvvZtYl^b^sA,MlvCaMBitjsTlglxROSy,cmYAcsmp\UDrDfTry[[U,IxPnpspJUespvlJfkaYW,pj`QyRlKJnKHDSOo`cog,ecR]tyN`LHDCZ]XfdV\E,CMBRdCxybHtovfROwgjr
iKPZ\^wGcTgl[ThamcNV,\_EUJxdRTki_ntTlNqIV,KDmsLoADsXYbTp\X\jsr,oLEuxxyla`BuXt`aXVu],FQCTfUQDP_BsvGve]MlY,jAnWgFLafYAQK\J`nDja,MgE`gtOVcVx^[JduCV_K,hMAvADVltpO[c_bZ]^hk
kHQCwBIOc[YLoONeICoU,DDuSsRlMBfTTlO]DY_sO,iDIrJw[]U[[]AT[nBqDi,WuXpmJOK_DixXaa^wFU_,tRqhK]lfaqbHk^mrfWpb,HmNxQh[otm[KQOMGXlMs,Q^eEnAxXyCOMgssuoTGn,lNDP]HE]uafpedOApTSE
SViH]smsfGgUDk]CGPij,KIyb]JlGADJ\qMsjSpUj,VpqEtcI\QhgQgsYOVwfl,oWuXAEJxVNDTXDMpDgnq,UHsFjMpWGrQZTprVw^rs,oT`ffhASyvotEEjt]OQy,Ni^ElcIgD^kgEm[mquQC,xkvI_PKvBWeZftaytHth
DJDPhTrxwEeA^VDJPvFu,sqjc_b[OCOYbkGA^qedf,wxkOMNxjAhkyoqdCgGBs,Fb[pS\LjkLWdEvHyQSsg,foGqmxQqBacA\LxXs[oR,IAUVajQc`aOB[JfaNeJL,XjOlgPhUojCPAPONppbw,Jk^Cu]mU[YJeYsovr_TS
excTpNXyD^PsultM\nbV,RiPiQFwnpkPHEoN[QB^i,hjLbseJSeDbeB[jH[E`q,wtfAHIEvYmv\iis\gbvY,INIvqVOwDCQbNsMlXlSE,o[\HOcnmBIE^Ua\Nn[tQ,Yvyyi]]bDcaJ`[dyWG]G,vZFp]F\giseDJsmrtmKB
_iTFj^ToHmZBlnuMWlMT,DqnmAhKxtCd[slyWHLWv,ncBRgvcALVclQTyObhkO,[kkMYMhAW_]QoCRujhvJ,LQfIu[^FTDDhdZcl^Abn,GeM^fnsXMbHl`M]PITWn,VC[j\kHtMTbGdljuvxje,C^VCeOl`nRe_pC_oUrsB
j^T^UxAHc[FLhQakhI`P,^yAP_CBAUCtpBvtfUPub,f_cjBxGKrG[jcoJntmNw,yNMqB[[qrjNXaDVCxFNJ,wNiwD[gUwINXJownPRen,`\iOjSSSmGVfn`tox`vS,iJAOsFnkZXyq`YVO^ieX,AQXlnjrIVcwovqxYpAUq
yFWYqLhdIHBPtZvBX]^I,WtiL_Rtt^cWroVS_aphr,ghrvqajQfFaFwrLEiAif,vQud[oGnwlTCPdVmU^c^,giKlYrcQTxbDufrVsyuQ,vupZuTKwx[we`QisbuVj,XmP^HQrprgQjlVD]ZHdL,_Frd[WOJgJM\TZqwmAFA
pyJeJ[GxwiWbvpqCIyrI,Y^yUsvuAbACarSnKcfHB,WXgebFSQXAR`WeRIuJ`H,qEXVRANsLI]QCVUaAsrf,TUdw^hLB`wZ`tD`cU]VC,^I[EeURwEDK_tTgiMX^h,s^pmGLCraARWpKbcnYZt,nExcwqHCNjGAu[NXCuHp
qSbLJMu^NAltYctAauRb,yfAjg]F]wixfQylbARUb,wZNiJm\FCqSfRC^AdY[O,Rn`NrdxPc[v]^XNS]_IR,vewZLX_kswArA_cOjSGb,\iLqrKPFPKQn[enJAlp_,ueg[XEtAvslKOFbEiiYm,gY\tsBCqfkAxk`L^ttqJ
]xgaSQUDIJpTxtXaiMDw,DvXtoLdiwHJgqcVBF]lV,haxMKymn\MTFyU^kRSLV,x_NGrQ[ROJGJwqeWkeEB,v\_uQ_UPS_tD_GfAuajI,GogwsjCZUmWoR_wUHWNJ,vsinKgIFEGyTrXPOrtlU,OtwR\aERY\yo_ISwOyo`
Fp^yDCyPt`hUpnviocIj,WkGRkt^_EleU`c^X_tmN,KmmjrEkqmfJM^gWYjQOC,U]dEAtkOvGmpaj_DLVnP,VC[CaGolDtLTXKjOqNmG,TKKGQSAvGBMPxAEqreMY,fXFurQHjUKK]xy`cCWkn,hrRJX_NKndEm]QqjFrjg
JSD`cjpVHUeEvVAmGQx_,e^CrLHByNTP]XmWoiVkX,pjoGuR`BUfOY]XXYPmcS,BrNBrxLwnXXnyNJxZCQf,bqJOrm[ZT_sFAvyHPeDl,q\PMDPx_rAEkDUw`gUyx,UY]\uOZe^JQsoN]Eonub,D\UiZ_vteQ]IwwqK_^an
fOLidqNV]PWmUxSFsRsq,KG_]OaowFlBOSdSlVagY,KeKWFXpTbAgdCkuJiqJC,nPjtQONAXOubQr`Pirno,bHsLE\DhXNjiOO_jcotj,wnBEiqbXEv\^WENLfSln,rnBwBFj^woYeFGt^pnkx,Lr_BX]awx^L``ykfmJkU
JYsHEdgaipdWtBijAlIs,nDaehY__hGaTekhabfsM,wnPlhbB[w]oMBsTIlbWT,_nhGlOtVhuwROEgYBaZj,KsCmpjpaCUTO\Lnximyn,sFuId[`oOCJPIrdSBLIt,fF^FQk^wTxUqnJiXZr[h,BsVGYugdgNe_mju\tLwV
